model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7466288147622427,0.5152057245080501,0.7700534759358288,0.617363344051447,0.8463070603735566
Random Forest,0.7686302342086586,0.547808764940239,0.7352941176470589,0.6278538812785388,0.8425559947299077
Gradient Boosting,0.8034066713981547,0.6655290102389079,0.5213903743315508,0.5847076461769115,0.8425043271590585
SVM,0.7501774308019872,0.519163763066202,0.7967914438502673,0.6286919831223629,0.8279017799478158
Decision Tree,0.7792760823278921,0.5940298507462687,0.5320855614973262,0.5613540197461213,0.8236353302849466
